Campaign,Assignee,Delivery deadline,Proofreader,Proofread deadline,Status,Publication date,Topic,Class,Funnel,Service-line,SEO Keyword,Angle,Market,Location,Language,Category name,Priority,Note
2026 Q2,N8N,,Anna Hirner,,Ready to publish,03/04/2026,Licencia Turística Andalucía [Guide],Pillar,MOFU,Owners_Single-units,licencia turística andalucía,Targets property owners in southern Spain looking at Málaga and Costa del Sol as alternative to Barcelona,ES,,Spanish (european),Regulations,URGENT,Already staged — POST ID 25014. Just needs publishing.
2026 Q2,Marco Teixeira,,Anna Hirner,,To do,07/04/2026,Fin du Airbnb à Paris en 2026 : ce que les propriétaires doivent savoir,Cluster,TOFU,Owners_Single-units,fin airbnb paris 2026,Capture urgent search intent from worried owners. Position GuestReady as informed operator.,FR,Paris,French (european),Regulations,URGENT,Time-sensitive — publish early April to capture search spike from regulation news
2026 Q2,Anna Hirner,,Marco Teixeira,,To do,10/04/2026,Best Property Management Companies Edinburgh,Cluster,BOFU,Generic,property management companies edinburgh,Completes the UK city PM companies series (London + Manchester already live),UK,Edinburgh,UK English,Management,High,Carry-forward from Q1. Must be live before UK Pillar in June.
2026 Q2,Marco Teixeira,,Anna Hirner,,To do,14/04/2026,Mid Term Rentals Dubai,Cluster,MOFU,Generic,mid term rentals dubai,Mirrors the successful Lyon/Paris mid-term rental articles from Q1,UAE,Dubai,UK English,Management,High,Mirrors Q1 FR mid-term pattern. Strong demand signal in Dubai market.
2026 Q2,Anna Hirner,,Marco Teixeira,,To do,17/04/2026,Best Property Management Companies Dublin,Cluster,BOFU,Generic,property management companies dublin,Solidify knowledge in this market,UK,Dublin,UK English,Management,High,Carry-forward from Q1. Pairs with Renting out property in Dublin (May).
2026 Q2,Marco Teixeira,,Anna Hirner,,To do,22/04/2026,Meilleure conciergerie Airbnb Lyon,Cluster,BOFU,Owners_Single-units,meilleure conciergerie airbnb lyon,Supports Meilleure conciergerie Airbnb France pillar in May,FR,Lyon,French (european),Management,High,Carry-forward from Q1. Must be live before FR conciergerie pillar in May.
2026 Q2,Marco Teixeira,,Anna Hirner,,To do,24/04/2026,Logement Flexible Paris: Confort et Flexibilité,Cluster,MOFU,Generic,logement flexible paris,Targets renters and owners seeking flexible mid-term options in Paris,FR,Paris,French (european),Management,Medium,Carry-forward from Q1.
2026 Q2,Anna Hirner,,Marco Teixeira,,To do,28/04/2026,Investir em alojamento local,Cluster,MOFU,Owners_Single-units,investir em alojamento local,Targeting property owners considering AL investment in Portugal,PT,,Portuguese (european),Investment,Medium,Carry-forward from Q1.
2026 Q2,Marco Teixeira,,Anna Hirner,,To do,05/05/2026,Bail mobilité vs location saisonnière : quel contrat choisir pour votre bien à Paris?,Cluster,MOFU,Owners_Single-units,bail mobilité vs location saisonnière paris,Decision-stage content for owners weighing options. Links to existing bail mobilité and bail code civil articles.,FR,Paris,French (european),Regulations,High,Part of Paris mid-term transition series. Link to bail mobilité + bail code civil articles.
2026 Q2,Anna Hirner,,Marco Teixeira,,To do,08/05/2026,Best Property Management Companies Brighton,Cluster,BOFU,Generic,property management companies brighton,Fulfill knowledge on short-term rentals + add scope for mid-term rentals,UK,Brighton,UK English,Management,High,Carry-forward from Q1. Must be live before UK Pillar in June.
